SiteName,latitude,longitude,sample_duration,pollutant_standard,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/17/2024,Parts per million,0.037706,38,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/18/2024,Parts per million,0.032529,34,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/19/2024,Parts per million,0.028588,35,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/20/2024,Parts per million,0.035706,37,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/21/2024,Parts per million,0.029824,33,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/22/2024,Parts per million,0.032765,31,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/23/2024,Parts per million,0.031647,34,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/24/2024,Parts per million,0.033941,39,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/25/2024,Parts per million,0.031765,39,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/26/2024,Parts per million,0.033059,33,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/27/2024,Parts per million,0.008118,19,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
