"Date","SiteName","SiteNumber","Unit","Measurement","Latitude","Longitude"
2025-02-04,"MON",421010076,"PPB",14.4916666666667,39.988842,-75.207205
2025-02-04,"NEW",421010048,"PPB",16.2565217391304,39.991389,-75.080833
2025-02-04,"TOR",421010075,"PPB",18.7708333333333,40.054171,-74.985166
2025-02-05,"MON",421010076,"PPB",8.92777777777778,39.988842,-75.207205
2025-02-05,"NEW",421010048,"PPB",13.2521739130435,39.991389,-75.080833
2025-02-05,"TOR",421010075,"PPB",17.1789473684211,40.054171,-74.985166
2025-02-06,"MON",421010076,"PPB",23.5666666666667,39.988842,-75.207205
2025-02-06,"NEW",421010048,"PPB",13.8,39.991389,-75.080833
2025-02-06,"TOR",421010075,"PPB",14.9708333333333,40.054171,-74.985166
2025-02-07,"MON",421010076,"PPB",8.88260869565217,39.988842,-75.207205
2025-02-07,"NEW",421010048,"PPB",13.6217391304348,39.991389,-75.080833
2025-02-07,"TOR",421010075,"PPB",15.1304347826087,40.054171,-74.985166
2025-02-08,"MON",421010076,"PPB",17.4583333333333,39.988842,-75.207205
2025-02-08,"NEW",421010048,"PPB",14.9565217391304,39.991389,-75.080833
2025-02-08,"TOR",421010075,"PPB",19.55,40.054171,-74.985166
2025-02-09,"MON",421010076,"PPB",13.6608695652174,39.988842,-75.207205
2025-02-09,"NEW",421010048,"PPB",11.495652173913,39.991389,-75.080833
2025-02-09,"TOR",421010075,"PPB",12.1304347826087,40.054171,-74.985166
2025-02-10,"MON",421010076,"PPB",6.75416666666667,39.988842,-75.207205
2025-02-10,"NEW",421010048,"PPB",14.5478260869565,39.991389,-75.080833
2025-02-10,"TOR",421010075,"PPB",16.05,40.054171,-74.985166
2025-02-11,"MON",421010076,"PPB",20.0608695652174,39.988842,-75.207205
2025-02-11,"NEW",421010048,"PPB",22.2217391304348,39.991389,-75.080833
2025-02-11,"TOR",421010075,"PPB",27.304347826087,40.054171,-74.985166
2025-02-12,"MON",421010076,"PPB",35.0894736842105,39.988842,-75.207205
2025-02-12,"NEW",421010048,"PPB",18.0826086956522,39.991389,-75.080833
2025-02-12,"TOR",421010075,"PPB",20.215,40.054171,-74.985166
2025-02-13,"MON",421010076,"PPB",30.1173913043478,39.988842,-75.207205
2025-02-13,"NEW",421010048,"PPB",15.1238095238095,39.991389,-75.080833
2025-02-13,"TOR",421010075,"PPB",17.395652173913,40.054171,-74.985166
2025-02-14,"MON",421010076,"PPB",4.25833333333333,39.988842,-75.207205
2025-02-14,"NEW",421010048,"PPB",10.6782608695652,39.991389,-75.080833
2025-02-14,"TOR",421010075,"PPB",9.00833333333333,40.054171,-74.985166
2025-02-15,"MON",421010076,"PPB",27.9695652173913,39.988842,-75.207205
2025-02-15,"NEW",421010048,"PPB",14.4217391304348,39.991389,-75.080833
2025-02-15,"TOR",421010075,"PPB",16.195652173913,40.054171,-74.985166
2025-02-16,"MON",421010076,"PPB",37.2727272727273,39.988842,-75.207205
2025-02-16,"NEW",421010048,"PPB",15.8869565217391,39.991389,-75.080833
2025-02-16,"TOR",421010075,"PPB",16.4333333333333,40.054171,-74.985166
2025-02-17,"MON",421010076,"PPB",5.5,39.988842,-75.207205
2025-02-17,"NEW",421010048,"PPB",6.21304347826087,39.991389,-75.080833
2025-02-17,"TOR",421010075,"PPB",6.00434782608696,40.054171,-74.985166
2025-02-18,"MON",421010076,"PPB",5.95,39.988842,-75.207205
2025-02-18,"NEW",421010048,"PPB",9.07391304347826,39.991389,-75.080833
2025-02-18,"TOR",421010075,"PPB",8.67083333333333,40.054171,-74.985166
2025-02-19,"MON",421010076,"PPB",5.57777777777778,39.988842,-75.207205
2025-02-19,"NEW",421010048,"PPB",11.8913043478261,39.991389,-75.080833
2025-02-19,"TOR",421010075,"PPB",12.5105263157895,40.054171,-74.985166
2025-02-20,"MON",421010076,"PPB",10.8958333333333,39.988842,-75.207205
2025-02-20,"NEW",421010048,"PPB",13.3095238095238,39.991389,-75.080833
2025-02-20,"TOR",421010075,"PPB",15.0875,40.054171,-74.985166
2025-02-21,"MON",421010076,"PPB",4.18260869565217,39.988842,-75.207205
2025-02-21,"NEW",421010048,"PPB",9.13478260869565,39.991389,-75.080833
2025-02-21,"TOR",421010075,"PPB",7.08695652173913,40.054171,-74.985166
2025-02-22,"MON",421010076,"PPB",9.14583333333333,39.988842,-75.207205
2025-02-22,"NEW",421010048,"PPB",11.8,39.991389,-75.080833
2025-02-22,"TOR",421010075,"PPB",13.0125,40.054171,-74.985166
2025-02-23,"MON",421010076,"PPB",14.904347826087,39.988842,-75.207205
2025-02-23,"NEW",421010048,"PPB",12.8173913043478,39.991389,-75.080833
2025-02-23,"TOR",421010075,"PPB",23.3529411764706,40.054171,-74.985166
2025-02-24,"MON",421010076,"PPB",25.3,39.988842,-75.207205
2025-02-24,"NEW",421010048,"PPB",26.0391304347826,39.991389,-75.080833
2025-02-24,"TOR",421010075,"PPB",28.7,40.054171,-74.985166
2025-02-25,"MON",421010076,"PPB",19.3217391304348,39.988842,-75.207205
2025-02-25,"NEW",421010048,"PPB",16.4565217391304,39.991389,-75.080833
2025-02-25,"TOR",421010075,"PPB",23.0869565217391,40.054171,-74.985166
2025-02-26,"MON",421010076,"PPB",11.6684210526316,39.988842,-75.207205
2025-02-26,"NEW",421010048,"PPB",19.2,39.991389,-75.080833
2025-02-26,"TOR",421010075,"PPB",23.275,40.054171,-74.985166
2025-02-27,"MON",421010076,"PPB",33.6521739130435,39.988842,-75.207205
2025-02-27,"NEW",421010048,"PPB",24.747619047619,39.991389,-75.080833
2025-02-27,"TOR",421010075,"PPB",27.8608695652174,40.054171,-74.985166
2025-02-28,"MON",421010076,"PPB",6.55416666666667,39.988842,-75.207205
2025-02-28,"NEW",421010048,"PPB",10.8304347826087,39.991389,-75.080833
2025-02-28,"TOR",421010075,"PPB",14.8166666666667,40.054171,-74.985166
2025-03-01,"MON",421010076,"PPB",11.8913043478261,39.988842,-75.207205
2025-03-01,"NEW",421010048,"PPB",10.6521739130435,39.991389,-75.080833
2025-03-01,"TOR",421010075,"PPB",11.6173913043478,40.054171,-74.985166
2025-03-02,"MON",421010076,"PPB",2.6875,39.988842,-75.207205
2025-03-02,"NEW",421010048,"PPB",5.81304347826087,39.991389,-75.080833
2025-03-02,"TOR",421010075,"PPB",3.90416666666667,40.054171,-74.985166
2025-03-03,"MON",421010076,"PPB",9.14347826086957,39.988842,-75.207205
2025-03-03,"NEW",421010048,"PPB",11.9826086956522,39.991389,-75.080833
2025-03-03,"TOR",421010075,"PPB",19.3130434782609,40.054171,-74.985166
2025-03-04,"MON",421010076,"PPB",19.625,39.988842,-75.207205
2025-03-04,"NEW",421010048,"PPB",13.8,39.991389,-75.080833
2025-03-04,"TOR",421010075,"PPB",18.5125,40.054171,-74.985166
2025-03-05,"MON",421010076,"PPB",15.2833333333333,39.988842,-75.207205
2025-03-05,"NEW",421010048,"PPB",6.70869565217391,39.991389,-75.080833
2025-03-05,"TOR",421010075,"PPB",11.0105263157895,40.054171,-74.985166
2025-03-06,"MON",421010076,"PPB",5.6,39.988842,-75.207205
