SiteName,latitude,longitude,sample_duration,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0048,39.991389,-75.080833,24-HR BLK AVG,4/18/2024,Micrograms/cubic meter (25 C),12,11,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/19/2024,Micrograms/cubic meter (25 C),12,11,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/20/2024,Micrograms/cubic meter (25 C),12,11,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/21/2024,Micrograms/cubic meter (25 C),7,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/22/2024,Micrograms/cubic meter (25 C),16,15,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/23/2024,Micrograms/cubic meter (25 C),16,15,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/24/2024,Micrograms/cubic meter (25 C),23,21,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/25/2024,Micrograms/cubic meter (25 C),13,12,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/26/2024,Micrograms/cubic meter (25 C),18,17,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/27/2024,Micrograms/cubic meter (25 C),11,10,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/28/2024,Micrograms/cubic meter (25 C),19,18,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/29/2024,Micrograms/cubic meter (25 C),32,30,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/30/2024,Micrograms/cubic meter (25 C),35,32,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/1/2024,Micrograms/cubic meter (25 C),18,17,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/2/2024,Micrograms/cubic meter (25 C),26,24,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/3/2024,Micrograms/cubic meter (25 C),16,15,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/4/2024,Micrograms/cubic meter (25 C),8,7,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/5/2024,Micrograms/cubic meter (25 C),12,11,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/6/2024,Micrograms/cubic meter (25 C),21,19,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/7/2024,Micrograms/cubic meter (25 C),19,18,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/8/2024,Micrograms/cubic meter (25 C),22,20,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/9/2024,Micrograms/cubic meter (25 C),16,15,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/10/2024,Micrograms/cubic meter (25 C),8,7,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/11/2024,Micrograms/cubic meter (25 C),8,7,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/12/2024,Micrograms/cubic meter (25 C),7,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/13/2024,Micrograms/cubic meter (25 C),13,12,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/17/2024,Micrograms/cubic meter (25 C),12,11,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/14/2024,Micrograms/cubic meter (25 C),14,13,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/15/2024,Micrograms/cubic meter (25 C),9,8,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/16/2024,Micrograms/cubic meter (25 C),7,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/18/2024,Micrograms/cubic meter (25 C),20,19,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/19/2024,Micrograms/cubic meter (25 C),9,8,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/20/2024,Micrograms/cubic meter (25 C),13,12,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/21/2024,Micrograms/cubic meter (25 C),20,19,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/22/2024,Micrograms/cubic meter (25 C),19,18,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/23/2024,Micrograms/cubic meter (25 C),18,17,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/24/2024,Micrograms/cubic meter (25 C),23,21,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/25/2024,Micrograms/cubic meter (25 C),23,21,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/26/2024,Micrograms/cubic meter (25 C),17,16,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/27/2024,Micrograms/cubic meter (25 C),14,13,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/28/2024,Micrograms/cubic meter (25 C),14,13,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/29/2024,Micrograms/cubic meter (25 C),13,12,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/30/2024,Micrograms/cubic meter (25 C),17,16,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,5/31/2024,Micrograms/cubic meter (25 C),17,16,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,6/1/2024,Micrograms/cubic meter (25 C),20,19,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,6/2/2024,Micrograms/cubic meter (25 C),20,19,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,6/3/2024,Micrograms/cubic meter (25 C),20,19,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,6/4/2024,Micrograms/cubic meter (25 C),25,23,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
